Region,Quartile,With no Security Headers (pub),With 1-3 Security Headers (pub),With 4-6 Security Headers (pub),With 7-9 Security Headers (pub),With 10-11 Security Headers (pub),With no Security Headers (pvt),With 1-3 Security Headers (pvt),With 4-6 Security Headers (pvt),With 7-9 Security Headers (pvt),With 10-11 Security Headers (pvt)
New York,1,15.0,60.0,25.0,0.0,0.0,37.03703703703704,45.925925925925924,16.296296296296298,0.0,0.7407407407407408
Arkansas,1,44.44444444444444,33.33333333333333,22.22222222222222,0.0,0.0,21.428571428571427,64.28571428571429,0.0,14.285714285714285,0.0
Mississippi,1,25.0,62.5,0.0,12.5,0.0,20.0,60.0,20.0,0.0,0.0
South Dakota,1,14.285714285714285,85.71428571428571,0.0,0.0,0.0,11.11111111111111,66.66666666666666,11.11111111111111,11.11111111111111,0.0
Louisiana,1,37.5,56.25,0.0,6.25,0.0,54.54545454545454,36.36363636363637,9.090909090909092,0.0,0.0
Oregon,1,0.0,44.44444444444444,55.55555555555556,0.0,0.0,20.0,65.0,10.0,5.0,0.0
Minnesota,1,16.666666666666664,58.333333333333336,25.0,0.0,0.0,13.793103448275861,58.620689655172406,24.137931034482758,3.4482758620689653,0.0
Michigan,1,20.0,46.666666666666664,33.33333333333333,0.0,0.0,21.21212121212121,69.6969696969697,6.0606060606060606,3.0303030303030303,0.0
Indiana,1,7.142857142857142,78.57142857142857,14.285714285714285,0.0,0.0,7.6923076923076925,71.7948717948718,17.94871794871795,2.564102564102564,0.0
Pennsylvania,1,33.33333333333333,57.14285714285714,9.523809523809524,0.0,0.0,23.863636363636363,55.68181818181818,18.181818181818183,2.272727272727273,0.0
North Carolina,1,18.75,68.75,12.5,0.0,0.0,21.27659574468085,61.702127659574465,14.893617021276595,2.127659574468085,0.0
Ohio,1,6.25,56.25,37.5,0.0,0.0,17.24137931034483,53.44827586206896,27.586206896551722,1.7241379310344827,0.0
Massachusetts,1,15.384615384615385,46.15384615384615,38.46153846153847,0.0,0.0,19.672131147540984,55.73770491803278,22.950819672131146,1.639344262295082,0.0
Illinois,2,41.66666666666667,41.66666666666667,16.666666666666664,0.0,0.0,25.806451612903224,53.2258064516129,19.35483870967742,1.6129032258064515,0.0
California,2,18.75,59.375,21.875,0.0,0.0,16.541353383458645,57.14285714285714,25.563909774436087,0.7518796992481203,0.0
Arizona,2,0.0,25.0,75.0,0.0,0.0,11.76470588235294,76.47058823529412,11.76470588235294,0.0,0.0
New Hampshire,2,0.0,60.0,40.0,0.0,0.0,44.44444444444444,33.33333333333333,22.22222222222222,0.0,0.0
Iowa,2,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,12.903225806451612,64.51612903225806,22.58064516129032,0.0,0.0
Rhode Island,2,0.0,100.0,0.0,0.0,0.0,0.0,44.44444444444444,55.55555555555556,0.0,0.0
Delaware,2,0.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Nebraska,2,14.285714285714285,71.42857142857143,14.285714285714285,0.0,0.0,21.428571428571427,42.857142857142854,35.714285714285715,0.0,0.0
North Dakota,2,33.33333333333333,50.0,16.666666666666664,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0
New Mexico,2,0.0,85.71428571428571,14.285714285714285,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0
Nevada,2,0.0,66.66666666666666,33.33333333333333,0.0,0.0,14.285714285714285,71.42857142857143,14.285714285714285,0.0,0.0
New Jersey,2,23.076923076923077,38.46153846153847,38.46153846153847,0.0,0.0,45.714285714285715,45.714285714285715,8.571428571428571,0.0,0.0
Wisconsin,3,6.666666666666667,73.33333333333333,20.0,0.0,0.0,20.833333333333336,58.333333333333336,20.833333333333336,0.0,0.0
Washington,3,0.0,87.5,12.5,0.0,0.0,18.181818181818183,59.09090909090909,22.727272727272727,0.0,0.0
Maryland,3,35.714285714285715,57.14285714285714,7.142857142857142,0.0,0.0,31.57894736842105,42.10526315789473,26.31578947368421,0.0,0.0
Colorado,3,35.714285714285715,57.14285714285714,7.142857142857142,0.0,0.0,25.0,50.0,25.0,0.0,0.0
Alabama,3,14.285714285714285,71.42857142857143,14.285714285714285,0.0,0.0,33.33333333333333,50.0,16.666666666666664,0.0,0.0
West Virginia,3,10.0,60.0,30.0,0.0,0.0,18.181818181818183,81.81818181818183,0.0,0.0,0.0
Vermont,3,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,71.42857142857143,28.57142857142857,0.0,0.0
Idaho,3,0.0,75.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Montana,3,50.0,50.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0
Georgia,3,42.10526315789473,42.10526315789473,15.789473684210526,0.0,0.0,19.444444444444446,72.22222222222221,8.333333333333332,0.0,0.0
Missouri,3,53.84615384615385,30.76923076923077,15.384615384615385,0.0,0.0,25.581395348837212,67.44186046511628,6.976744186046512,0.0,0.0
Texas,3,24.390243902439025,60.97560975609756,14.634146341463413,0.0,0.0,33.33333333333333,59.09090909090909,7.575757575757576,0.0,0.0
Kansas,4,25.0,62.5,12.5,0.0,0.0,19.047619047619047,71.42857142857143,9.523809523809524,0.0,0.0
South Carolina,4,23.076923076923077,76.92307692307693,0.0,0.0,0.0,13.043478260869565,65.21739130434783,21.73913043478261,0.0,0.0
Hawaii,4,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0
Kentucky,4,75.0,25.0,0.0,0.0,0.0,14.285714285714285,66.66666666666666,19.047619047619047,0.0,0.0
Utah,4,0.0,100.0,0.0,0.0,0.0,9.090909090909092,72.72727272727273,18.181818181818183,0.0,0.0
District of Columbia,4,0.0,100.0,0.0,0.0,0.0,27.27272727272727,54.54545454545454,18.181818181818183,0.0,0.0
Connecticut,4,9.090909090909092,90.9090909090909,0.0,0.0,0.0,29.411764705882355,52.94117647058824,17.647058823529413,0.0,0.0
Oklahoma,4,21.428571428571427,71.42857142857143,7.142857142857142,0.0,0.0,33.33333333333333,58.333333333333336,8.333333333333332,0.0,0.0
Tennessee,4,50.0,50.0,0.0,0.0,0.0,32.35294117647059,52.94117647058824,14.705882352941178,0.0,0.0
Florida,4,30.76923076923077,69.23076923076923,0.0,0.0,0.0,20.634920634920633,66.66666666666666,12.698412698412698,0.0,0.0
Virginia,4,26.666666666666668,73.33333333333333,0.0,0.0,0.0,10.256410256410255,79.48717948717949,10.256410256410255,0.0,0.0
Maine,4,85.71428571428571,14.285714285714285,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0
Alaska,4,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Wyoming,4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4,24.33392539964476,58.96980461811723,16.341030195381883,0.3552397868561279,0.0,22.75618374558304,59.01060070671378,17.17314487632509,0.9893992932862191,0.0706713780918728
